File Path,Error Message,Error Type,Line Number,Code Context
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/3d-secure-out-of-band.md,Expected a closing tag for `<strong>` (60:14-60:48) before the end of `paragraph`,mdx-parse-error,6,"original_id: 3550
---
<h2>Overview of Out-of-Band (OOB) Authentication</h2>
<p>Out-of-Band (OOB) authentication is an advanced type of two-factor authentication (2FA) that necessitates an additional verification method via a distinct communication channel. It is an optional yet highly advised Challenge flow authentication method for conducting 3DS transactions for Paymentology clients.</p>
<p data-renderer-start-pos=""179"">This applies to both Mastercard and Visa transactions.</p>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/api-reference-sample.md,Could not parse expression with acorn,mdx-parse-error,6,"original_id: 313
---
<p>Lorem ipsum dolor sit amet, consectetur adipiscing elit. In egestas, ligula et tristique vestibulum, tellus mauris eleifend nibh, eget rutrum arcu libero commodo eros. Morbi est metus, scelerisque id consequat a, malesuada feugiat nisi.</p>

"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/api-reference/appendix.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/api-reference""
---
<!-- unsupported_acf_block: table_block {""acf_fc_layout"":""table_block"",""table_caption"":""Result Codes"",""table"":{""use_header"":true,""header"":[{""c"":""Code""},{""c"":""Description""}],""caption"":false,""body"":[[{""c"":""\""0\""""},{""c"":""Approved no action. Note: code is 0 and does not include \""\""""}],[{""c"":""1""},{""c"":""Approved""}],[{""c"":""-3""},{""c"":""Duplicate Transaction ID""}],[{""c"":""-4""},{""c"":""Validation error. Please verify the values you provided are correct""}],[{""c"":""-5""},{""c"":""Operation not Allowed""}],[{""c"":""-6""},{""c"":""Operation not Supported""}],[{""c"":""-7""},{""c"":""Transaction Timeout""}],[{""c"":""-8""},{""c"":""Authentication failed""}],[{""c"":""-9""},{""c"":""Do not honour (general decline, no specific reason given)""}],[{""c"":""-10""},{""c"":""Transaction could not be processed. Please check card is valid and working""}],[{""c"":""-17""},{""c"":""Insufficient funds""}],[{""c"":""-18""},{""c"":""Exceeds withdrawal amount limit""}],[{""c"":""-19""},{""c"":""Invalid amount""}],[{""c"":""-21""},{""c"":""Maximum card value would be exceeded""}],[{""c"":""-22""},{""c"":""Maximum monthly load value would be exceeded""}],[{""c"":""-23""},{""c"":""Invalid terminal for campaign""}],[{""c"":""-24""},{""c"":""Security violation""}],[{""c"":""-25""},{""c"":""Incorrect PIN""}],[{""c"":""-26""},{""c"":""Allowable PIN tries exceeded""}],[{""c"":""-27""},{""c"":""Invalid PIN block""}],[{""c"":""-28""},{""c"":""PIN length error""}],[{""c"":""-29""},{""c"":""Invalid Card Data""}],[{""c"":""-33""},{""c"":""Card has a balance""}],[{""c"":""-34""},{""c"":""Card already active""}],[{""c"":""-35""},{""c"":""Card not active""}],[{""c"":""-36""},{""c"":""Expired Card""}],[{""c"":""-37""},{""c"":""Suspected fraud""}],[{""c"":""-38""},{""c"":""Lost card""}],[{""c"":""-39""},{""c"":""Stolen card""}],[{""c"":""-248""},{""c"":""Invalid MSISDN""}],[{""c"":""-250""},{""c"":""Invalid initials""}],[{""c"":""-251""},{""c"":""Invalid Address OR Invalid Contact Number""}],[{""c"":""-252""},{""c"":""Invalid Address 2""}],[{""c"":""-253""},{""c"":""Invalid Address 3""}],[{""c"":""-254""},{""c"":""Invalid Address 4""}],[{""c"":""-255""},{""c"":""Invalid Address 5 OR Invalid PinBlock""}],[{""c"":""-294""},{""c"":""Invalid stop reason code""}],[{""c"":""-295""},{""c"":""Invalid expiry date""}],[{""c"":""-296""},{""c"":""Invalid transaction date""}],[{""c"":""-297""},{""c"":""Invalid transaction ID""}],[{""c"":""-298""},{""c"":""Invalid reference data""}],[{""c"":""-299""},{""c"":""Invalid reference ID\n""}],[{""c"":""-780""},{""c"":""Invalid card reference""}],[{""c"":""-781""},{""c"":""Invalid card - Not a physical card""}],[{""c"":""-782""},{""c"":""Cannot disable physical card OR Print card request already requested""}]]}} -->

"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/api-reference/index.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api""
---
<p>The Card API contains the API and API methods that we use to call you to send transactions on to the store of value for authorizations. Transactions originate from the merchant and are sent to Paymentology via the financial networks and then are forwarded to the store of value for authorization.</p>
<p id=""intro""><strong>Note:</strong> You will need to implement the relevant method names corresponding to the different calls in order to perform the necessary actions on your system.</p>
"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/api-reference/ordercardwithpinblock.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/api-reference""
---
<p>Order a card for a specific cardholder. You can choose this method if you want the PIN of the card printed on its card carrier or if you have Offline PIN validation in your country.</p>
<p><strong>IMPORTANT:</strong> No commas, question marks or quotation marks are allowed in any of the fields.</p>
<p>&nbsp;</p>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/api-reference/remotemessaging.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/api-reference""
---
<p class=""BodyA""><strong><span lang=""EN-US"">Remote messaging API allows Paymentology to call you to send administrative advice messages for Card API. These advice messages are sent using webhook-like schema. If you are integrating the service, you must create an endpoint accessible from the Paymentology network, which would be able to process the requests outlined below.</span></strong></p>

"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/api-reference/statement.md,"Unexpected closing tag `</p>`, expected corresponding closing tag for `<a>` (16:4-16:25)",mdx-parse-error,7,"original_path: ""card-api/api-reference""
---
<p>Retrieve the statement of a card (or pocket if applicable).</p>
<p><a href=""#statement1.3"">Version 1.3</a></p>
<p><a href=""#statement1.2"">Version 1.2</a></p>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/api-reference/updatecvv.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/api-reference""
---
<p>Generate a new CVV2 of the specified card.</p>

"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/disputes.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api""
---
<h1>What is a Dispute?</h1>
<p>A dispute is a transaction that a cardholder/customer does not agree with and therefore requests that part of, or the entire transaction be reversed or refunded.</p>
"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/index.md,Could not parse expression with acorn,mdx-parse-error,6,"original_id: 16
---
<h2>Card API is a simple API where we hold your customer&#8217;s balance for you</h2>
<p><strong>The Card API is a prepaid card management interface that enables you to instantly generate and issue virtual and/or physical cards. These cards are funded from a stored value account (SVA) and are loaded as a balance on the card. The Card API is different from the Companion API in that Paymentology stores the customer’s balance and we are responsible for authorizing transactions based on the stipulated card balances and limits. </strong></p>
<p><span style=""font-weight: 400;"">With this API, you can provide anything from simple gift cards to multi-currency cards for traveling, payout and payroll cards or general-purpose reloadable cards for the unbanked, and many other types of secure payment cards. It offers a prepaid card and pocket management solution that acts as a link between Mastercard, Visa, Union Pay International, bank switches, and various customer cards.</span></p>"
